"collection1"
"Rank","Name","Net Worth","Source","Country of Citizenship","Age"
"#125","Wang Wenyin","$9.9 B","mining, copper products","China","47"
"#129","Ananda Krishnan","$9.7 B","telecom","Malaysia","77"
"#129","Kjeld Kirk Kristiansen","$9.7 B","Lego","Denmark","67"
"#131","Robert & Philip Ng","$9.6 B","real estate","Singapore","-"
"#131","Galen Weston","$9.6 B","retail","Canada","75"
"#133","German Khan","$9.5 B","banking, telecom, retail","Russia","54"
"#133","Alain Wertheimer","$9.5 B","Chanel","France","67"
"#133","Gerard Wertheimer","$9.5 B","Chanel","France","64"
"#136","Xavier Niel","$9.3 B","internet, telecom","France","48"
"#137","Roman Abramovich","$9.1 B","steel, investments","Russia","49"
"#137","Leonard Lauder","$9.1 B","Estee Lauder","United States","82"
"#137","Andrey Melnichenko","$9.1 B","coal, fertilizers","Russia","43"
"#137","Hasso Plattner","$9.1 B","software","Germany","71"
"#137","Eric Schmidt","$9.1 B","Google","United States","60"
"#142","Kumar Birla","$9 B","commodities","India","48"
"#142","R. Budi Hartono","$9 B","banking, tobacco","Indonesia","74"
"#142","George Kaiser","$9 B","oil & gas, banking","United States","73"
"#142","John Menard, Jr.","$9 B","retail","United States","75"
"#142","Samuel Newhouse, Jr.","$9 B","media","United States","87"
"#147","Tsai Eng-Meng","$8.9 B","food, beverages","Taiwan","58"
"#147","Wei Jianjun","$8.9 B","automobiles","China","51"
"#149","Ernesto Bertarelli","$8.8 B","biotech, investments","Switzerland","50"
"#149","Carrie Perrodo","$8.8 B","oil","France","64"
"#151","Michael Hartono","$8.7 B","tobacco, banking","Indonesia","76"
"#151","Hiroshi Mikitani","$8.7 B","online retailing","Japan","50"
"#153","Pan Sutong","$8.6 B","real estate, finance","Hong Kong","52"
"#153","Klaus Tschira","$8.6 B","software","Germany","74"
"#153","Peter Woo","$8.6 B","real estate","Hong Kong","69"
"#156","Jim Kennedy","$8.5 B","media","United States","67"
"#156","Eyal Ofer","$8.5 B","real estate, shipping","Israel","65"
"#156","Blair Parry-Okeden","$8.5 B","media","United States","64"
"#156","Dmitry Rybolovlev","$8.5 B","fertilizer","Russia","48"
"#160","Petr Kellner","$8.4 B","banking, insurance","Czech Republic","51"
"#151","Michael Hartono","$8.7 B","tobacco, banking","Indonesia","76"
"#151","Hiroshi Mikitani","$8.7 B","online retailing","Japan","50"
"#153","Pan Sutong","$8.6 B","real estate, finance","Hong Kong","52"
"#153","Klaus Tschira","$8.6 B","software","Germany","74"
"#153","Peter Woo","$8.6 B","real estate","Hong Kong","69"
"#156","Jim Kennedy","$8.5 B","media","United States","67"
"#156","Eyal Ofer","$8.5 B","real estate, shipping","Israel","65"
"#156","Blair Parry-Okeden","$8.5 B","media","United States","64"
"#156","Dmitry Rybolovlev","$8.5 B","fertilizer","Russia","48"
"#160","Petr Kellner","$8.4 B","banking, insurance","Czech Republic","51"
"#160","Margarita Louis-Dreyfus","$8.4 B","commodities","Switzerland","52"
"#162","Sergei Galitsky","$8.3 B","retail","Russia","48"
"#162","John Malone","$8.3 B","cable television","United States","74"
"#162","Donald Newhouse","$8.3 B","media","United States","85"
"#165","Joao Roberto Marinho","$8.2 B","media","Brazil","62"
"#165","Jose Roberto Marinho","$8.2 B","media","Brazil","59"
"#165","Roberto Irineu Marinho","$8.2 B","media","Brazil","68"
"#168","Pierre Omidyar","$8 B","Ebay","United States","48"
"#168","Ricardo Salinas Pliego","$8 B","retail, media","Mexico","60"
"#170","Gianluigi & Rafaela Aponte","$7.9 B","shipping","Switzerland","-"
"#170","Dustin Moskovitz","$7.9 B","Facebook","United States","31"
"#172","August von Finck","$7.7 B","investments","Germany","85"
"#172","Leslie Wexner","$7.7 B","retail","United States","78"
"#174","Giorgio Armani","$7.6 B","Armani","Italy","81"
"#174","Thomas Frist, Jr.","$7.6 B","health care","United States","77"
"#174","Takemitsu Takizaki","$7.6 B","sensors","Japan","70"
"#177","James Goodnight","$7.5 B","software","United States","72"
"#177","Jim Pattison","$7.5 B","diversified","Canada","87"
"#179","Silvio Berlusconi","$7.4 B","media","Italy","79"
"#179","David Duffield","$7.4 B","business software","United States","75"
"#179","Edward Johnson, III.","$7.4 B","money management","United States","85"
"#179","Liu Qiangdong","$7.4 B","e-commerce","China","41"
"#179","Johann Rupert","$7.4 B","luxury goods","South Africa","65"
"#184","Alexei Kuzmichev","$7.3 B","banking, telecom, retail","Russia","53"
"#185","Eli Broad","$7.2 B","investments","United States","82"
"#185","Charles Cadogan","$7.2 B","real estate","United Kingdom","78"
"#185","Dietmar Hopp","$7.2 B","software","Germany","75"
"#185","Uday Kotak","$7.2 B","banking","India","56"
"#185","Jay Y. Lee","$7.2 B","electronics/tourism","South Korea","47"
"#185","Suh Kyung-Bae","$7.2 B","cosmetics","South Korea","52"
"#191","Micky Arison","$7.1 B","Carnival Cruises","United States","66"
"#191","Emmanuel Besnier","$7.1 B","cheese","France","45"
"#193","Walter Kwok","$7 B","real estate","Hong Kong","65"
"#193","Ralph Lauren","$7 B","Ralph Lauren","United States","76"
"#195","David Geffen","$6.9 B","entertainment","United States","72"
"#195","Graeme Hart","$6.9 B","investments","New Zealand","60"
"#195","Gordon Moore","$6.9 B","Intel","United States","86"
"#195","Wang Jing","$6.9 B","telecom services","China","42"
"#199","Goh Cheng Liang","$6.8 B","paints","Singapore","88"
"#199","Denis O'Brien","$6.8 B","telecom","Ireland","57"
"#201","Rinat Akhmetov","$6.7 B","steel, coal","Ukraine","49"
"#201","Vincent Bollore","$6.7 B","investments","France","63"
"#201","Jean-Claude Decaux","$6.7 B","advertising","France","77"
"#201","Eva Gonda de Rivera","$6.7 B","beverages","Mexico","-"
"#201","Nicky Oppenheimer","$6.7 B","diamonds","South Africa","70"
"#201","Maria-Elisabeth Schaeffler","$6.7 B","ball bearings","Germany","74"
"#201","Reinhold Wuerth","$6.7 B","fasteners","Germany","80"
"#208","Gautam Adani","$6.6 B","commodities, infrastructure","India","53"
"#208","William Ding","$6.6 B","online games","China","44"
"#208","Johann Graf","$6.6 B","gambling","Austria","68"
"#208","Charles Johnson","$6.6 B","money management","United States","82"
"#208","Jan Koum","$6.6 B","WhatsApp","United States","39"
"#208","Liu Yongxing","$6.6 B","agribusiness","China","67"
"#208","Sunil Mittal","$6.6 B","telecom","India","58"
"#208","Cyrus Poonawalla","$6.6 B","vaccines","India","74"
"#216","Carl Cook","$6.5 B","medical devices","United States","53"
"#216","Ken Griffin","$6.5 B","hedge funds","United States","47"
"#216","James Irving","$6.5 B","diversified","Canada","87"
"#216","Stephen Ross","$6.5 B","real estate","United States","75"
"#220","Abdulla bin Ahmad Al Ghurair","$6.4 B","diversified","United Arab Emirates","-"
"#220","Richard LeFrak","$6.4 B","real estate","United States","70"
"#220","Melker Schorling","$6.4 B","investments","Sweden","68"
"#220","Charles Schwab","$6.4 B","discount brokerage","United States","78"
"#220","Heinz Hermann Thiele","$6.4 B","brakes","Germany","74"
"#225","Stanley Kroenke","$6.3 B","sports, real estate","United States","68"
"#225","Sandra Ortega Mera","$6.3 B","Zara","Spain","47"
"#225","Sumner Redstone","$6.3 B","Media","United States","92"
"#225","Nassef Sawiris","$6.3 B","construction","Egypt","54"
"#225","Christoffel Wiese","$6.3 B","retailing","South Africa","74"
"#230","Majid Al Futtaim","$6.2 B","real estate, retail","United Arab Emirates","-"
"#230","Dannine Avara","$6.2 B","pipelines","United States","51"
"#230","Oleg Deripaska","$6.2 B","aluminum, utilities","Russia","47"
"#230","Scott Duncan","$6.2 B","pipelines","United States","33"
"#230","Curt Engelhorn","$6.2 B","pharmaceuticals","Germany","89"
"#230","Milane Frantz","$6.2 B","pipelines","United States","46"
"#230","Hui Ka Yan","$6.2 B","real estate","China","57"
"#230","Rupert Johnson, Jr.","$6.2 B","money management","United States","74"
"#230","Michael Kadoorie","$6.2 B","diversified","Hong Kong","74"
"#230","Kelcy Warren","$6.2 B","pipelines","United States","60"
"#240","Chan Laiwa","$6.1 B","real estate","China","74"
"#240","Terry Gou","$6.1 B","electronics","Taiwan","65"
"#240","Willi & Isolde Liebherr","$6.1 B","construction","Switzerland","-"
"#240","Ira Rennert","$6.1 B","investments","United States","81"
"#240","Randa Williams","$6.1 B","pipelines","United States","54"
"#240","Hansjoerg Wyss","$6.1 B","medical devices","Switzerland","80"
"#246","David Green","$6 B","retail","United States","73"
"#246","Augusto & Giorgio Perfetti","$6 B","candy","Italy","-"
"#248","Jin Sook & Do Won Chang","$5.9 B","fashion retail","United States","60"
"#248","Bruce Halle","$5.9 B","tires","United States","85"
"#248","Lu Zhiqiang","$5.9 B","diversified","China","63"
"#248","Bruno Schroder","$5.9 B","banking","United Kingdom","82"
"#248","Joseph Tsai","$5.9 B","e-commerce","Canada","51"
"#248","Dennis Washington","$5.9 B","construction, mining","United States","81"
"#254","John Gokongwei, Jr.","$5.8 B","diversified","Philippines","88"
"#254","Desh Bandhu Gupta","$5.8 B","pharmaceuticals","India","77"
"#254","Pauline MacMillan Keinath","$5.8 B","Cargill","United States","81"
"#254","Loretta Robinson","$5.8 B","cable tv","Canada","76"
"#254","Zhang Zhidong","$5.8 B","internet media","China","43"
"#259","Chung Mong-Koo","$5.7 B","motor vehicles","South Korea","77"
"#259","Richard DeVos","$5.7 B","Amway","United States","89"
"#259","Guo Guangchang","$5.7 B","diversified","China","48"
"#259","Lin Yu-lin","$5.7 B","real estate","Taiwan","79"
"#259","Andrei Skoch","$5.7 B","steel","Russia","49"
"#259","Juan-Miguel Villar Mir","$5.7 B","construction","Spain","84"
"#265","Maria Asuncion Aramburuzabala","$5.6 B","beer, investments","Mexico","52"
"#265","Ray Lee Hunt","$5.6 B","oil, real estate","United States","72"
"#265","Ann Walton Kroenke","$5.6 B","Wal-Mart","United States","66"
"#265","Quek Leng Chan","$5.6 B","banking, real estate","Malaysia","74"
"#265","Keiichiro Takahara","$5.6 B","diapers","Japan","84"
"#265","Stef Wertheimer","$5.6 B","tools","Israel","89"
"#271","Arthur Irving","$5.5 B","oil","Canada","85"
"#271","Herbert Kohler, Jr.","$5.5 B","plumbing fixtures","United States","76"
"#271","Anders Holch Povlsen","$5.5 B","retail","Denmark","43"
"#271","Jorn Rausing","$5.5 B","packaging","Sweden","55"
"#271","Thomas Schmidheiny","$5.5 B","cement","Switzerland","69"
"#271","Wee Cho Yaw","$5.5 B","banking","Singapore","86"
"#277","Hui Wing Mau","$5.4 B","real estate","Hong Kong","65"
"#277","Joe Lewis","$5.4 B","investments","United Kingdom","78"
"#277","Juan Roig","$5.4 B","supermarkets","Spain","66"
"#277","Robert Rowling","$5.4 B","investments","United States","62"
"#277","Teh Hong Piow","$5.4 B","banking","Malaysia","85"
"#277","Harry Triguboff","$5.4 B","property","Australia","82"
"#283","Leon Black","$5.3 B","private equity","United States","64"
"#283","Carlos and Alejandro Bulgheroni","$5.3 B","oil and gas","Argentina","-"
"#283","Garrett Camp","$5.3 B","Uber Technologies","Canada","37"
"#283","Leonid Fedun","$5.3 B","oil","Russia","59"
"#283","Savitri Jindal","$5.3 B","steel","India","65"
"#283","Antonia Johnson","$5.3 B","diversified","Sweden","72"
"#283","Travis Kalanick","$5.3 B","Uber Technologies","United States","39"
"#283","Leonard Stern","$5.3 B","real estate","United States","77"
"#291","David & Frederick Barclay","$5.2 B","media, retail","United Kingdom","81"
"#291","Vivien Chen","$5.2 B","real estate","Hong Kong","56"
"#291","Bidzina Ivanishvili","$5.2 B","investments","Georgia","59"
"#291","Micky Jagtiani","$5.2 B","retail","India","64"
"#291","Henry Kravis","$5.2 B","private equity","United States","71"
"#291","James Packer","$5.2 B","casinos","Australia","48"
"#291","Enrique Razon, Jr.","$5.2 B","ports","Philippines","55"
"#291","Odd Reitan","$5.2 B","retail, real estate","Norway","64"
"#291","George Roberts","$5.2 B","private equity","United States","72"
"#291","Paolo & Gianfelice Mario Rocca","$5.2 B","pipe manufacturing","Italy","-"
"#301","Pyotr Aven","$5.1 B","banking, telecom","Russia","60"
"#301","Ivan Glasenberg","$5.1 B","mining","Switzerland","58"
"#301","Philip & Cristina Green","$5.1 B","retail","United Kingdom","63"
"#301","Lu Guanqiu","$5.1 B","diversified","China","70"
"#301","Arnon Milchan","$5.1 B","movie making","Israel","70"
"#301","Dan Olsson","$5.1 B","diversified","Sweden","68"
"#301","Finn Rausing","$5.1 B","packaging","Sweden","60"
"#301","Kirsten Rausing","$5.1 B","packaging","Sweden","63"
"#309","Laurence Graff","$5 B","diamond jewelry","United Kingdom","77"
"#309","Pansy Ho","$5 B","casinos","Hong Kong","53"
"#309","Bertil Hult","$5 B","education","Sweden","74"
"#309","Karl-Heinz Kipp","$5 B","retail","Germany","91"
"#309","Bruce Kovner","$5 B","hedge funds","United States","70"
"#309","George Lucas","$5 B","Star Wars","United States","71"
"#309","David Sun","$5 B","computer hardware","United States","64"
"#309","John Tu","$5 B","computer hardware","United States","74"
"#309","Yang Huiyan","$5 B","real estate","China","34"
"#318","Michael Ashley","$4.9 B","sports retailing","United Kingdom","51"
"#318","James Dyson","$4.9 B","vacuums","United Kingdom","68"
"#318","Albert Frere","$4.9 B","investments","Belgium","89"
"#318","Jeffery Hildebrand","$4.9 B","oil","United States","56"
"#318","Kwee brothers","$4.9 B","real estate","Singapore","70"
"#318","Liang Wengen","$4.9 B","construction equipment","China","58"
"#318","Frank Lowy","$4.9 B","shopping malls","Australia","85"
"#318","Frederik Paulsen","$4.9 B","health care","Sweden","65"
"#318","Sam Zell","$4.9 B","real estate, private equity","United States","74"
"#318","Daniel Ziff","$4.9 B","investments","United States","44"
"#318","Dirk Ziff","$4.9 B","investments","United States","51"
"#318","Robert Ziff","$4.9 B","investments","United States","49"
"#330","Isak Andic","$4.8 B","clothing retail","Spain","62"
"#330","Richard Branson","$4.8 B","Virgin","United Kingdom","65"
"#330","Adi Godrej","$4.8 B","consumer goods","India","73"
"#330","Jamshyd Godrej","$4.8 B","consumer goods","India","66"
"#330","Michael & Marian Ilitch","$4.8 B","pizza","United States","86"
"#330","Ted Lerner","$4.8 B","real estate","United States","90"
"#330","Idan Ofer","$4.8 B","drilling, shipping","Israel","60"
"#330","Emanuele (Lino) Saputo","$4.8 B","cheese","Canada","78"
"#330","Eduardo Saverin","$4.8 B","Facebook","Brazil","33"
"#330","Andrew Tan","$4.8 B","diversified","Philippines","63"
"#330","Zhou Jianping","$4.8 B","apparel","China","55"
"#341","Phillip Frost","$4.7 B","pharmaceuticals","United States","78"
"#341","Daniel Gilbert","$4.7 B","Quicken Loans","United States","53"
"#341","Gong Hongjia","$4.7 B","investments","Hong Kong","50"
"#341","Stein Erik Hagen","$4.7 B","retail","Norway","59"
"#341","Reid Hoffman","$4.7 B","LinkedIn","United States","48"
"#341","Nancy Walton Laurie","$4.7 B","Wal-Mart","United States","64"
"#341","Liu Yonghao","$4.7 B","agribusiness","China","64"
"#341","Sri Prakash Lohia","$4.7 B","polyester","Indonesia","63"
"#341","Whitney MacMillan","$4.7 B","Cargill","United States","86"
"#341","John A. Sobrato","$4.7 B","real estate","United States","76"
"#341","Tong Jinquan","$4.7 B","real estate","China","61"
"#352","Dona Bertarelli","$4.6 B","biotech","Switzerland","47"
"#352","Heinrich Deichmann","$4.6 B","Footwear","Germany","52"
"#352","Paul Tudor Jones, II.","$4.6 B","hedge funds","United States","61"
"#352","Randal Kirk","$4.6 B","pharmaceuticals","United States","61"
"#352","Lee Shin Cheng","$4.6 B","palm oil, real estate","Malaysia","76"
"#352","Ludwig Merckle","$4.6 B","pharmaceuticals","Germany","50"
"#352","Sergei Popov","$4.6 B","banking","Russia","44"
"#352","Mark Shoen","$4.6 B","U-Haul","United States","64"
"#360","Alexander Abramov","$4.5 B","steel, mining","Russia","56"
"#360","Pierre Bellon","$4.5 B","food services","France","85"
"#360","Kunio Busujima","$4.5 B","Pachinko Machines","Japan","90"
"#360","Michael Herz","$4.5 B","coffee","Germany","72"
"#360","Wolfgang Herz","$4.5 B","coffee","Germany","64"
"#360","Elizabeth Holmes","$4.5 B","blood testing","United States","31"
"#360","Shahid Khan","$4.5 B","auto parts","United States","65"
"#360","Richard Li","$4.5 B","telecoms","Hong Kong","49"
"#360","Shashi & Ravi Ruia","$4.5 B","diversified","India","-"
"#369","Americo Amorim","$4.4 B","energy, investments","Portugal","81"
"#369","Shari Arison","$4.4 B","Carnival Cruises","Israel","58"
"#369","Abilio dos Santos Diniz","$4.4 B","retail","Brazil","78"
"#369","Guenther Fielmann","$4.4 B","optometry","Germany","76"
"#369","Filaret Galchev","$4.4 B","construction materials","Russia","52"
"#369","Ian & Richard Livingstone","$4.4 B","real estate","United Kingdom","-"
"#369","Horst Paulmann","$4.4 B","retail","Chile","80"
"#369","Alejandro Santo Domingo","$4.4 B","beer","United States","38"
"#369","Andres Santo Domingo","$4.4 B","beer","United States","37"
"#369","Lucio Tan","$4.4 B","diversified","Philippines","81"
"#369","George Ty","$4.4 B","banking","Philippines","82"
"#369","Murat Ulker","$4.4 B","food manufacturing","Turkey","56"
"#381","Jeronimo Arango","$4.3 B","retail","Mexico","89"
"#381","Anthony Bamford","$4.3 B","construction equipment","United Kingdom","70"
"#381","Charles Dolan","$4.3 B","cable television","United States","89"
"#381","Tamara Gustavson","$4.3 B","self storage","United States","53"
"#381","Zarakh Iliev","$4.3 B","real estate","Russia","49"
"#381","Robert Kraft","$4.3 B","New England Patriots","United States","74"
"#381","Luo Jye","$4.3 B","tires","Taiwan","89"
"#381","God Nisanov","$4.3 B","real estate","Russia","43"
"#381","Karen Pritzker","$4.3 B","hotels, investments","United States","57"
"#381","Trevor Rees-Jones","$4.3 B","oil & gas","United States","64"
"#381","Chairul Tanjung","$4.3 B","diversified","Indonesia","53"
"#381","Lottie Tham","$4.3 B","H&M","Sweden","66"
"#393","Mike Adenuga","$4.2 B","telcom, oil","Nigeria","62"
"#393","Subhash Chandra","$4.2 B","media","India","64"
"#393","Gustaf Douglas","$4.2 B","security","Sweden","77"
"#393","Han Chang-Woo","$4.2 B","pachinko parlors","Japan","84"
"#393","Jerry Jones","$4.2 B","Dallas Cowboys","United States","73"
"#393","Kirk Kerkorian","$4.2 B","casinos, investments","United States","98"
"#393","Lin Rong San","$4.2 B","real estate","Taiwan","76"
"#393","Stewart and Lynda Resnick","$4.2 B","agriculture, water","United States","-"
"#393","Wang Wei","$4.2 B","package delivery service","China","44"
"#393","Karl Wlaschek","$4.2 B","retail","Austria","98"
"#393","Aloys Wobben","$4.2 B","wind turbines","Germany","63"
"#393","Zhang Jindong","$4.2 B","appliance retailer","China","52"
"#405","Prince Sultan bin Mohammed bin Saud Al Kabeer","$4.1 B","dairy farms","Saudi Arabia","61"
"#405","Benu Gopal Bangur","$4.1 B","cement","India","84"
"#405","Patrizio Bertelli","$4.1 B","luxury goods","Italy","69"
"#405","David Consunji","$4.1 B","construction","Philippines","94"
"#405","Frits Goldschmeding","$4.1 B","temp agency","Netherlands","82"
"#405","Martha Ingram","$4.1 B","book distribution, transportation","United States","80"
"#405","Barry Lam","$4.1 B","computers","Taiwan","66"
"#405","John Morris","$4.1 B","sporting goods retail","United States","67"
"#405","Miuccia Prada","$4.1 B","Prada","Italy","66"
"#405","Mark Scheinberg","$4.1 B","online gambling","Canada","41"
"#405","David Shaw","$4.1 B","hedge funds","United States","64"
"#405","Donald Trump","$4.1 B","television, real estate","United States","69"
"#405","Zhang Shiping","$4.1 B","aluminum products","China","68"
"#418","Anil Ambani","$4 B","diversified","India","56"
